<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zar,20260112, 670000.00, 676666.00, 661000.00, 669113.00,1957314320556.00, 2925235,5620,D,655540.00,664402.00
Zar,20260111, 641200.00, 661878.00, 641000.00, 655540.00,1372018172840.00, 2092959,4299,D,630420.00,661100.00
Zar,20260110, 625532.00, 650272.00, 617369.00, 630420.00,1932895079325.00, 3066042,8691,D,680121.00,625501.00
Zar,20260107, 690000.00, 690000.00, 674500.00, 680121.00,2693068612154.00, 3959689,8062,D,690122.00,683550.00
Zar,20260106, 694030.00, 704999.00, 674430.00, 690122.00,5011502106700.00, 7261763,13250,D,654608.00,693750.00
Zar,20260105, 644071.00, 663000.00, 643070.00, 654608.00,3636083331573.00, 5554597,8510,D,618581.00,662979.00
Zar,20260104, 622123.00, 627000.00, 610000.00, 618581.00,1657448632231.00, 2679437,4991,D,604487.00,625586.00
Zar,20251231, 610000.00, 623800.00, 588183.00, 604487.00,1643448687492.00, 2718748,7569,D,618769.00,594800.00
Zar,20251230, 600000.00, 636899.00, 598000.00, 618769.00,2554430149311.00, 4128247,8661,D,618235.00,624502.00
Zar,20251229, 630000.00, 639000.00, 594405.00, 618235.00,2505669962974.00, 4052942,12197,D,660450.00,594405.00
Zar,20251228, 662600.00, 686000.00, 627847.00, 660450.00,4960937919293.00, 7511450,15118,D,646469.00,652099.00
Zar,20251227, 651000.00, 651999.00, 640000.00, 646469.00,1975891397979.00, 3056436,6634,D,624703.00,650314.00
Zar,20251224, 621000.00, 630600.00, 613000.00, 624703.00,1896174239834.00, 3035322,7835,D,604771.00,623602.00
Zar,20251223, 600000.00, 612000.00, 596111.00, 604771.00,1654775775987.00, 2736200,6273,D,580785.00,607870.00
Zar,20251222, 577498.00, 585000.00, 575920.00, 580785.00,1152879404122.00, 1985037,3898,D,566175.00,584149.00
Zar,20251221, 565900.00, 570195.00, 556010.00, 566175.00,1041180360606.00, 1838974,4178,D,568707.00,569962.00
Zar,20251220, 574000.00, 575809.00, 561200.00, 568707.00,1490286007691.00, 2620483,5760,D,565193.00,570194.00
Zar,20251217, 561033.00, 569560.00, 560500.00, 565193.00,1626521715470.00, 2877818,4405,D,551802.00,568000.00
Zar,20251216, 555797.00, 555797.00, 547002.00, 551802.00,1047985036119.00, 1899205,5608,D,571836.00,555000.00
Zar,20251215, 576000.00, 582500.00, 561100.00, 571836.00,1899464701661.00, 3321697,8050,D,564194.00,561800.00
Zar,20251214, 560000.00, 567381.00, 558292.00, 564194.00,764367701586.00, 1354795,3138,D,565817.00,567179.00
Zar,20251213, 561650.00, 568360.00, 561650.00, 565817.00,1512990770551.00, 2673992,6029,D,539604.00,563889.00
Zar,20251210, 525600.00, 548479.00, 525600.00, 539604.00,789246319871.00, 1462641,3650,D,541586.00,545600.00
Zar,20251209, 550021.00, 550999.00, 531604.00, 541586.00,1037579440559.00, 1915816,6687,D,551417.00,531949.00
Zar,20251208, 550550.00, 555499.00, 548002.00, 551417.00,1097188465381.00, 1989760,4101,D,549559.00,548645.00
Zar,20251207, 559500.00, 559500.00, 542555.00, 549559.00,1130876067150.00, 2057787,5515,D,549117.00,548000.00
Zar,20251206, 551710.00, 551710.00, 545001.00, 549117.00,803348278472.00, 1462981,3501,D,541907.00,550465.00
Zar,20251203, 545000.00, 545780.00, 540000.00, 541907.00,825179306062.00, 1522731,3410,D,527811.00,543011.00
Zar,20251202, 525200.00, 535402.00, 525200.00, 527811.00,871763894046.00, 1651658,4676,D,537960.00,533623.00
Zar,20251201, 530001.00, 542990.00, 530001.00, 537960.00,1159575116995.00, 2155506,4536,D,524623.00,542099.00
Zar,20251130, 525100.00, 527950.00, 522951.00, 524623.00,1596768446026.00, 3043647,4597,D,514873.00,525921.00
Zar,20251129, 511599.00, 518500.00, 509006.00, 514873.00,1226819956595.00, 2382764,4129,D,501557.00,518500.00
Zar,20251126, 499900.00, 502999.00, 498900.00, 501557.00,401412259515.00, 800332,2872,D,495550.00,499557.00
Zar,20251125, 497000.00, 497796.00, 494461.00, 495550.00,368833121084.00, 744290,2574,D,494750.00,497700.00
Zar,20251123, 493000.00, 496250.00, 493000.00, 494750.00,274740757842.00, 555312,1546,D,492479.00,495168.00
Zar,20251122, 496541.00, 496541.00, 490888.00, 492479.00,494075994893.00, 1003242,3304,D,496840.00,490897.00
Zar,20251119, 495601.00, 498990.00, 492000.00, 496840.00,746944860868.00, 1503392,3106,D,491069.00,497501.00
Zar,20251118, 491649.00, 492960.00, 488001.00, 491069.00,759123287035.00, 1545858,2816,D,493133.00,492400.00
Zar,20251117, 493000.00, 494799.00, 490002.00, 493133.00,482747267480.00, 978940,1798,D,489211.00,494795.00
Zar,20251116, 495316.00, 496000.00, 487177.00, 489211.00,566202466454.00, 1157379,3683,D,496485.00,488934.00
Zar,20251115, 495100.00, 499149.00, 491615.00, 496485.00,429838363034.00, 865763,2661,D,499156.00,495316.00
Zar,20251112, 494000.00, 500000.00, 494000.00, 499156.00,907198544679.00, 1817466,3439,D,483601.00,498290.00
Zar,20251111, 478130.00, 487180.00, 476501.00, 483601.00,941227495179.00, 1946290,3592,D,467644.00,485999.00
Zar,20251110, 467000.00, 470000.00, 466310.00, 467644.00,264469241621.00, 565535,1478,D,463597.00,468610.00
Zar,20251109, 463226.00, 465247.00, 462880.00, 463597.00,283337690105.00, 611173,1173,D,463059.00,463691.00
Zar,20251108, 463001.00, 464226.00, 462101.00, 463059.00,198655154628.00, 429006,1521,D,463768.00,463226.00
Zar,20251105, 465360.00, 465360.00, 463000.00, 463768.00,215296807541.00, 464234,1643,D,465360.00,463793.00
Zar,20251104, 463400.00, 466680.00, 463400.00, 465360.00,427569320446.00, 918792,1980,D,462608.00,464896.00
Zar,20251103, 462692.00, 463029.00, 461800.00, 462608.00,203350912642.00, 439575,1611,D,462692.00,462701.00
Zar,20251102, 463520.00, 464600.00, 461400.00, 462692.00,276671578165.00, 597961,1841,D,461574.00,461851.00
Zar,20251101, 461251.00, 464649.00, 459147.00, 461574.00,428313885192.00, 927942,2293,D,459942.00,463598.00
Zar,20251029, 457001.00, 461900.00, 457001.00, 459942.00,364457984172.00, 792399,2253,D,451445.00,459498.00
Zar,20251028, 459160.00, 459160.00, 448203.00, 451445.00,654639153024.00, 1450098,4198,D,465310.00,453262.00
Zar,20251027, 467998.00, 467998.00, 464100.00, 465310.00,423009953435.00, 909093,2905,D,471156.00,464110.00
Zar,20251026, 469600.00, 473900.00, 467900.00, 471156.00,680213205487.00, 1443710,2961,D,464131.00,468547.00
Zar,20251025, 458637.00, 476300.00, 455000.00, 464131.00,798734020372.00, 1720922,3310,D,462340.00,467299.00
Zar,20251022, 464000.00, 465605.00, 460550.00, 462340.00,708165137419.00, 1531697,4129,D,474415.00,462102.00
Zar,20251021, 473010.00, 477777.00, 468500.00, 474415.00,424929523572.00, 895692,2649,D,474291.00,468501.00
Zar,20251020, 476543.00, 478991.00, 471900.00, 474291.00,522854420697.00, 1102391,2196,D,478323.00,477297.00
Zar,20251019, 474000.00, 481000.00, 474000.00, 478323.00,766866464985.00, 1603241,2657,D,468713.00,479179.00
Zar,20251018, 475987.00, 475987.00, 467315.00, 468713.00,715189523582.00, 1525859,3564,D,478629.00,468210.00
Zar,20251015, 476700.00, 481499.00, 476700.00, 478629.00,926473021841.00, 1935679,3362,D,470655.00,477758.00
Zar,20251014, 471011.00, 475000.00, 467696.00, 470655.00,713122983485.00, 1515171,3585,D,474057.00,467982.00
Zar,20251013, 480005.00, 480005.00, 470100.00, 474057.00,775990723270.00, 1636916,3000,D,467941.00,473506.00
Zar,20251012, 466005.00, 475990.00, 462100.00, 467941.00,932784498555.00, 1993380,4283,D,480599.00,474990.00
Zar,20251011, 487299.00, 487299.00, 477275.00, 480599.00,836158059019.00, 1739823,4353,D,488207.00,477339.00
Zar,20251008, 496900.00, 496900.00, 485199.00, 488207.00,1137780732482.00, 2330527,4316,D,467487.00,487980.00
Zar,20251007, 462200.00, 473485.00, 461000.00, 467487.00,1091545679666.00, 2334921,4127,D,460739.00,473299.00
Zar,20251006, 467028.00, 467028.00, 456000.00, 460739.00,737790376266.00, 1601318,3887,D,463321.00,460107.00
Zar,20251005, 462710.00, 467780.00, 460557.00, 463321.00,780850051073.00, 1685331,3899,D,465879.00,462131.00
Zar,20251004, 468500.00, 469990.00, 463011.00, 465879.00,1113274715938.00, 2389624,5463,D,475020.00,465350.00
Zar,20251001, 470501.00, 479090.00, 465161.00, 475020.00,1529372950338.00, 3219595,6172,D,459927.00,472550.00
Zar,20250930, 459500.00, 464816.00, 454500.00, 459927.00,1183924251331.00, 2574156,4459,D,452969.00,462605.00
Zar,20250929, 440997.00, 456629.00, 439999.00, 452969.00,2174264718005.00, 4800032,4212,D,443745.00,455000.00
Zar,20250928, 455500.00, 455500.00, 433671.00, 443745.00,1692691189414.00, 3814554,7823,D,455713.00,436390.00
Zar,20250927, 457500.00, 461000.00, 450841.00, 455713.00,1150972514578.00, 2525653,5247,D,443446.00,458060.00
Zar,20250924, 446996.00, 446996.00, 441397.00, 443446.00,1239064064043.00, 2794174,4762,D,422584.00,444889.00
Zar,20250923, 415530.00, 428377.00, 415500.00, 422584.00,960706111413.00, 2273406,4130,D,415530.00,427580.00
