<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kahroba,20251007, 102900.00, 105446.00, 102810.00, 104109.00,5951897024302.00, 57169978,17052,D,102374.00,105440.00
Kahroba,20251006, 103450.00, 103555.00, 101140.00, 102374.00,5663308250692.00, 55319965,20558,D,102970.00,102243.00
Kahroba,20251005, 102550.00, 103700.00, 102011.00, 102970.00,6621431123296.00, 64304194,19089,D,103222.00,102553.00
Kahroba,20251004, 103500.00, 104000.00, 102554.00, 103222.00,14222024550048.00, 137780966,32918,D,105188.00,103024.00
Kahroba,20251001, 103642.00, 105980.00, 103510.00, 105188.00,10311782200885.00, 98032362,25804,D,101641.00,105000.00
Kahroba,20250930, 102000.00, 102600.00, 100496.00, 101641.00,9045748275262.00, 88997267,21740,D,100137.00,102395.00
Kahroba,20250929, 98000.00, 101030.00, 97998.00, 100137.00,8254530367164.00, 82432113,21121,D,98549.00,100721.00
Kahroba,20250928, 100500.00, 100500.00, 96051.00, 98549.00,12589981941299.00, 127753426,38840,D,100893.00,96905.00
Kahroba,20250927, 100502.00, 102000.00, 99500.00, 100893.00,11060262421249.00, 109624047,29268,D,98636.00,101360.00
Kahroba,20250924, 98700.00, 99150.00, 98250.00, 98636.00,12256613015123.00, 124260990,23781,D,94103.00,99044.00
Kahroba,20250923, 92240.00, 95220.00, 92240.00, 94103.00,8852449724184.00, 94072220,21081,D,92108.00,95119.00
Kahroba,20250922, 92999.00, 92999.00, 91684.00, 92108.00,6109786394960.00, 66332781,18154,D,93767.00,92270.00
Kahroba,20250921, 95000.00, 95000.00, 92817.00, 93767.00,10934001325802.00, 116608717,25671,D,91735.00,92995.00
Kahroba,20250920, 92000.00, 93000.00, 91000.00, 91735.00,10175168610990.00, 110919358,21238,D,86708.00,92526.00
Kahroba,20250917, 87288.00, 87288.00, 86332.00, 86708.00,2701127758870.00, 31151963,11109,D,86875.00,86937.00
Kahroba,20250916, 86640.00, 87120.00, 86425.00, 86875.00,4171128222494.00, 48013083,12575,D,85096.00,86750.00
Kahroba,20250915, 85150.00, 85510.00, 84600.00, 85096.00,3685621024051.00, 43311521,9615,D,83840.00,85509.00
Kahroba,20250914, 83300.00, 84180.00, 83300.00, 83840.00,5813943273637.00, 69345846,11411,D,83732.00,83750.00
Kahroba,20250913, 84200.00, 84250.00, 83220.00, 83732.00,3122863839316.00, 37296057,16860,D,85483.00,83240.00
Kahroba,20250909, 85000.00, 86466.00, 84280.00, 85483.00,3073091515459.00, 35949769,12267,D,86248.00,85995.00
Kahroba,20250908, 88010.00, 88028.00, 85400.00, 86248.00,5978954875274.00, 69323061,21635,D,86531.00,85828.00
Kahroba,20250907, 86000.00, 87324.00, 85800.00, 86531.00,5231474514213.00, 60457551,14223,D,84652.00,87096.00
Kahroba,20250906, 84252.00, 85300.00, 84249.00, 84652.00,3816466954030.00, 45084055,12048,D,83611.00,85300.00
Kahroba,20250903, 82320.00, 84456.00, 82289.00, 83611.00,3998918238199.00, 47827740,11773,D,83106.00,84000.00
Kahroba,20250902, 84020.00, 84020.00, 82310.00, 83106.00,4891386466971.00, 58857374,21865,D,84877.00,82520.00
Kahroba,20250831, 83601.00, 85700.00, 83560.00, 84877.00,5125352650641.00, 60385798,16013,D,83947.00,85549.00
Kahroba,20250830, 86001.00, 86003.00, 81865.00, 83947.00,7070507665324.00, 84225962,25761,D,79850.00,83550.00
Kahroba,20250827, 79500.00, 80882.00, 79002.00, 79850.00,5450146302618.00, 68255182,15477,D,77659.00,80809.00
Kahroba,20250826, 78400.00, 78600.00, 77185.00, 77659.00,3303371388002.00, 42537097,13084,D,78012.00,77204.00
Kahroba,20250825, 78210.00, 78449.00, 77444.00, 78012.00,2591817486667.00, 33223106,11866,D,76667.00,78000.00
Kahroba,20250823, 76390.00, 77058.00, 75816.00, 76667.00,3329831841137.00, 43432330,12446,D,75816.00,77051.00
Kahroba,20250820, 75500.00, 76070.00, 75500.00, 75816.00,2199662477500.00, 29013297,11073,D,75169.00,75897.00
